,Address,City,Bed's,Bath's,SqFt,Price
0,540 Five Mile Parkway W,Dallas TX 75224 ,3,2,"2,391","$219,900"
1,7317 Larchway Drive,Dallas TX 75232 ,3,2,"1,198","$172,900"
2,8636 Ashcroft  Ave,Dallas TX 75243 ,4,3,"2,688","$599,900"
3,9938 Ridgehaven DR,Dallas TX 75238 ,3,3,"3,015","$599,950"
4,7151  Gaston Avenue  #109,Dallas TX 75214 ,2,2,992,"$224,000"
5,4834  Worth Street,Dallas TX 75246 ,4,3,"2,764","$599,900"
6,831 Haines AVE,Dallas TX 75208 ,3,2,"1,920","$499,000"
7,8402 Brittania WAY,Dallas TX 75243 ,2,2,"1,338","$245,000"
8,5208 Wateka Drive,Dallas TX 75209 ,3,2,"1,891","$599,900"
9,1711 Elmwood Boulevard,Dallas TX 75224 ,3,2,"2,200","$588,000"
10,410 Willomet Avenue S,Dallas TX 75208 ,3,1,"1,500","$275,000"
11,559  Aqua Drive,Dallas TX 75218 ,2,1,"1,162","$299,000"
12,17490  Meandering Way  #1711,Dallas TX 75252 ,2,2,935,"$175,000"
13,5039 Hall Street N,Dallas TX 75235 ,2,1,"1,142","$165,000"
14,6003 Chelsea Avenue,Dallas TX 75241 ,5,3,"3,143","$11,300"
15,6915 Hickory Creek Ln,Dallas TX 75252 ,4,2,"1,374","$432,000"
16,2413 Warren Avenue,Dallas TX 75215 ,4,2,"1,375","$172,900"
17,2410 Garden Drive,Dallas TX 75215 ,4,3,"2,572","$169,900"
18,4502  Capitol Avenue,Dallas TX 75204 ,2,2,"1,132","$700,000"
